42 1 0.6875 0.5625 3.7 2 2 2 3 3 4 2 4 3 3 4 3 4 4 5 2 3 3
43 1 0.5625 0.4375 3.2 2 1 3 2 2 2 2 1 2 1 2 2 2 1 1 2 2 1
44 10 0.5 0.375 2.9 2 3 3 3 2 2 3 3 3 3 4 2 3 4 4 2 4 4
45 1 0.4375 0.375 2.9 4 4 3 1 2 3 2 2 4 2 3 2 5 5 3 4 4 4
46 10 0.6875 0.5625 3.5 4 4 5 3 3 2 2 4 4 2 2 3 5 5 4 2 4 2
47 1 0.875 0.5 3.5 1 1 2 2 1 4 2 3 2 3 5 4 1 2 4 1 2 2
48 1 0.5 0.4375 3.5 5 2 5 4 3 4 3 4 4 4 4 3 4 4 4 2 3 3
49 10 0.5625 0.5 3.5 4 4 4 4 3 4 3 4 4 3 3 4 4 4 4 3 4 4
50 10 0.5625 0.3125 2.9 4 2 4 3 1 2 3 4 4 3 3 3 2 2 4 2 2 2
51 1 0.6875 0.375 1.7 2 1 1 2 1 3 1 2 2 2 4 1 2 2 3 2 2 1
52 10 0.625 0.5 3.8 4 2 2 4 2 3 3 3 3 3 2 3 4 5 4 2 4 3
53 1 0.5625 0.5 3.7 4 4 4 4 3 4 3 4 4 4 5 2 4 4 4 3 4 3
54 10 0.5 0.375 2.9 4 1 3 2 2 2 3 3 2 2 3 2 2 3 4 2 2 2
55 10 1.1875 0.875 3.8 4 2 4 4 4 4 1 4 4 4 4 3 4 4 2 2 5 4
56 10 0.4375 0.3125 3.6 4 1 4 1 4 4 2 3 4 3 4 3 2 3 4 3 2 3
57 1 0.4375 0.4375 2.8 2 2 3 4 4 4 2 4 3 3 4 3 2 2 4 2 2 2
58 10 0.5625 0.5 3 4 5 5 4 4 2 3 4 4 3 5 4 4 5 4 4 5 4
59 1 0.8125 0.5625 3.1 4 2 4 4 5 4 1 5 4 2 5 2 4 4 1 3 4 4
60 1 0.375 0.375 3.1 2 3 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
61 1 0.9375 0.625 3.5 4 1 4 4 3 4 2 5 4 2 5 3 3 4 4 1 4 3
62 10 0.4375 0.4375 2.8 3 2 2 2 3 3 2 3 3 2 3 2 2 2 3 2 2 2
63 1 1 0.625 3 4 4 4 2 3 3 4 5 5 3 3 3 3 4 4 3 3 1
64 1 0.6875 0.5 2.6 2 1 3 2 3 2 3 2 3 1 4 2 2 2 2 2 3 1
65 10 0.75 0.625 3 2 3 2 3 3 3 3 3 5 2 5 2 3 4 2 2 1 5
66 10 0.8125 0.5625 2.9 1 1 2 1 2 2 1 3 2 2 4 1 4 3 2 2 4 2
67 1 0.5625 0.375 3.5 2 4 2 2 2 2 3 4 2 2 2 2 2 2 2 4 2 2
68 1 0.625 0.4375 3.7 4 1 4 2 3 4 1 3 3 4 4 4 4 3 3 2 4 2
69 1 0.6875 0.5 3 4 1 4 4 4 4 2 4 4 4 5 4 4 3 3 2 3 3
70 10 0.375 0.375 2.8 2 3 4 3 4 4 2 4 3 2 4 4 4 4 3 2 4 3
71 1 0.5 0.375 2.9 3 2 3 2 2 4 2 3 4 3 4 2 4 4 4 4 4 3
72 10 0.5 0.5 2.7 3 3 3 2 2 2 3 4 4 2 4 3 2 2 4 2 3 2
73 10 0.875 0.5 3.5 3 1 4 2 4 4 3 4 4 5 4 4 2 2 1 1 3 3
74 10 0.6875 0.4375 3.9 3 1 4 2 2 4 5 3 5 4 3 2 4 4 2 1 3 3
75 10 0.8125 0.5 2.6 2 2 2 4 2 4 2 4 3 2 4 4 2 3 4 1 3 2
76 10 0.75 0.5625 2.7 5 1 4 1 2 4 2 2 5 4 3 1 4 5 4 3 5 4
77 10 0.75 0.5625 3.7 4 3 4 4 4 4 2 3 4 4 4 3 4 4 4 3 4 4
78 1 0.4375 0.4375 3.4 4 4 4 3 4 4 3 4 5 2 4 4 4 4 4 2 4 3
79 10 0.375 0.375 2.9 2 3 1 4 2 2 2 2 2 3 2 2 4 4 2 1 4 2
80 10 0.625 0.375 2.7 4 1 3 3 5 4 3 4 3 2 5 2 3 3 4 1 3 2
81 10 0.5 0.3125 2.8 3 1 3 2 3 2 2 2 4 4 4 3 4 4 2 2 4 2
82 1 0.5625 0.5 2.2 2 4 2 4 2 4 1 4 4 2 5 4 2 2 2 2 4 1
83 1 1.25 0.625 2.2 4 3 3 3 2 5 3 5 5 5 4 5 4 4 4 3 5 4
84 1 0.5625 0.5 3 3 3 4 3 2 3 3 4 2 2 4 2 2 4 3 2 3 3
85 10 0.3125 0.3125 2.9 3 3 2 3 2 3 3 3 2 3 3 3 3 3 3 2 3 2
86 10 0.3125 0.3125 3.6 4 2 4 3 3 4 4 4 4 3 2 3 3 4 4 2 4 2
